Solar Name,Date,Year,Status,NDVI_mean,NDVI_stdev,NDVI_variance,NDVI_mean_control,NDVI_stdev_control,NDVI_variance_control
Branscomb,Jan-Apr,2020,Pre-Construction,0.255933374,0.143675294,0.02064259,0.100122836,0.016690523,0.000278574
Branscomb,Jan-Apr,2020,Pre-Construction,0.242009297,0.122148732,0.014920313,0.100403115,0.00563459,3.17E-05
Branscomb,Jan-Apr,2020,Pre-Construction,0.185144728,0.072119848,0.005201272,0.24301242,0.024287216,0.000589869
Branscomb,Jan-Apr,2020,Pre-Construction,0.222890913,0.112331946,0.012618466,0.335433903,0.02788791,0.000777736
Branscomb,Jan-Apr,2020,Pre-Construction,0.176236212,0.087312196,0.00762342,0.177723341,0.041972616,0.0017617
Branscomb,Jan-Apr,2020,Pre-Construction,0.250613576,0.12638681,0.015973626,0.308162982,0.039895285,0.001591634
Branscomb,Jan-Apr,2020,Pre-Construction,0.247001855,0.040484442,0.00163899,0.128751129,0.035432918,0.001255492
Branscomb,Jan-Apr,2020,Pre-Construction,0.229998455,0.102397104,0.010485167,0.113583126,0.01891139,0.000357641
Darby,Jan-Apr,2021,Pre-Construction,0.127325519,0.012150326,0.00014763,0.127325519,0.012150326,0.00014763
ELP Stillwater,Jan-Apr,2021,Pre-Construction,0.156375196,0.117166767,0.013728051,0.10864967,0.012751728,0.000162607
ELP Stillwater,Jan-Apr,2021,Pre-Construction,0.204485314,0.087752129,0.007700436,0.086950462,0.010239236,0.000104842
ELP Stillwater,Jan-Apr,2021,Pre-Construction,0.269392065,0.113918592,0.012977446,0.087625249,0.024936209,0.000621815
ELP Stillwater,Jan-Apr,2021,Pre-Construction,0.239116377,0.096331817,0.009279819,0.20531736,0.060556351,0.003667072
ELP Stillwater,Jan-Apr,2021,Pre-Construction,0.198927192,0.059350024,0.003522425,0.12198714,0.022882466,0.000523607
ELP Stillwater,Jan-Apr,2021,Pre-Construction,0.358202314,0.204968861,0.042012234,0.27273176,0.038456282,0.001478886
ELP Stillwater,Jan-Apr,2021,Pre-Construction,0.338455466,0.210243004,0.044202121,0.272303795,0.073157438,0.005352011
ELP Stillwater,Jan-Apr,2021,Pre-Construction,0.1799623,0.058463447,0.003417975,0.084403405,0.023490662,0.000551811
ELP Stillwater,Jan-Apr,2021,Pre-Construction,0.249508081,0.035986628,0.001295037,0.342591131,0.116576823,0.013590156
ELP Stillwater,Jan-Apr,2021,Pre-Construction,0.2427402,0.047205196,0.002228331,0.371251436,0.200422037,0.040168993
Grissom,Jan-Apr,2021,Pre-Construction,0.070596158,0.051783742,0.002681556,0.083570183,0.039753348,0.001580329
Grissom,Jan-Apr,2021,Pre-Construction,0.053635894,0.016055407,0.000257776,0.055252599,0.018278289,0.000334096
Pattersonville,Jan-Apr,2019,Pre-Construction,0.031258568,0.017928214,0.000321421,0.066092927,0.037009348,0.001369692
Puckett,Jan-Apr,2020,Pre-Construction,0.445765721,0.106802972,0.011406875,0.432856202,0.087160747,0.007596996
Puckett,Jan-Apr,2020,Pre-Construction,0.42102825,0.13169754,0.017344242,0.667272499,0.12602233,0.015881628
Puckett,Jan-Apr,2020,Pre-Construction,0.284895476,0.036698471,0.001346778,0.329561894,0.040857907,0.001669369
Puckett,Jan-Apr,2020,Pre-Construction,0.293806495,0.065650502,0.004309988,0.266198171,0.025494331,0.000649961
Puckett,Jan-Apr,2020,Pre-Construction,0.36828978,0.114439693,0.013096443,0.328686079,0.037254142,0.001387871
Regan,Jan-Apr,2021,Pre-Construction,0.077168373,0.053237976,0.002834282,0.05796079,0.038516114,0.001483491
Regan,Jan-Apr,2021,Pre-Construction,0.096374807,0.056403721,0.00318138,0.100242345,0.078354716,0.006139462
Branscomb,Jan-Apr,2022,Post-Construction,0.075808058,0.070838458,0.005018087,0.069586055,0.015267518,0.000233097
Branscomb,Jan-Apr,2022,Post-Construction,0.12211982,0.098076543,0.009619008,0.112234798,0.017975653,0.000323124
Branscomb,Jan-Apr,2022,Post-Construction,0.069323894,0.057755904,0.003335744,0.09587194,0.011157697,0.000124494
Branscomb,Jan-Apr,2022,Post-Construction,0.095115252,0.060045499,0.003605462,0.055617245,0.013957376,0.000194808
Branscomb,Jan-Apr,2022,Post-Construction,0.079497306,0.082564619,0.006816916,0.058199171,0.035484413,0.001259144
Branscomb,Jan-Apr,2022,Post-Construction,0.09134279,0.080572184,0.006491877,0.045853638,0.008912043,7.94E-05
Branscomb,Jan-Apr,2022,Post-Construction,0.098705559,0.063785683,0.004068613,0.063793331,0.01105478,0.000122208
Branscomb,Jan-Apr,2022,Post-Construction,0.100034343,0.089941273,0.008089433,0.063505261,0.01251566,0.000156642
Darby,Jan-Apr,2023,Post-Construction,0.127121936,0.027417662,0.000751728,0.127121936,0.027417662,0.000751728
ELP Stillwater,Jan-Apr,2023,Post-Construction,0.147466511,0.05221946,0.002726872,0.138280008,0.024820096,0.000616037
ELP Stillwater,Jan-Apr,2023,Post-Construction,0.193778023,0.077909367,0.006069869,0.13414787,0.024239182,0.000587538
ELP Stillwater,Jan-Apr,2023,Post-Construction,0.210123516,0.104569282,0.010934735,0.119926901,0.059367749,0.00352453
