Solar Name,Date,Year,Status,NDVI_mean,NDVI_stdev,NDVI_variance,NDVI_mean_control,NDVI_stdev_control,NDVI_variance_control
Branscomb,May-Aug,2020,Pre-Construction,0.684659738,0.135391158,0.018330766,0.399321586,0.069541835,0.004836067
Branscomb,May-Aug,2020,Pre-Construction,0.645570919,0.129461273,0.016760221,0.452779727,0.048163239,0.002319698
Branscomb,May-Aug,2020,Pre-Construction,0.60064871,0.116632232,0.013603078,0.706683995,0.030510588,0.000930896
Branscomb,May-Aug,2020,Pre-Construction,0.611856931,0.164643761,0.027107568,0.685173692,0.027580463,0.000760682
Branscomb,May-Aug,2020,Pre-Construction,0.590114018,0.104907115,0.011005503,0.655470785,0.044374692,0.001969113
Branscomb,May-Aug,2020,Pre-Construction,0.716325357,0.132130262,0.017458406,0.660264992,0.03488516,0.001216974
Branscomb,May-Aug,2020,Pre-Construction,0.710418344,0.065155963,0.0042453,0.482633194,0.073235905,0.005363498
Branscomb,May-Aug,2020,Pre-Construction,0.680010319,0.130982831,0.017156502,0.494243434,0.034109165,0.001163435
Darby,May-Aug,2021,Pre-Construction,0.582405634,0.062472235,0.00390278,0.582405634,0.062472235,0.00390278
ELP Stillwater,May-Aug,2021,Pre-Construction,0.52887052,0.233767641,0.05464731,0.764603714,0.024788581,0.000614474
ELP Stillwater,May-Aug,2021,Pre-Construction,0.698412811,0.198171058,0.039271768,0.73569544,0.115045217,0.013235402
ELP Stillwater,May-Aug,2021,Pre-Construction,0.786609749,0.056729093,0.00321819,0.460540971,0.253553282,0.064289267
ELP Stillwater,May-Aug,2021,Pre-Construction,0.845797988,0.025337029,0.000641965,0.673898613,0.094098883,0.0088546
ELP Stillwater,May-Aug,2021,Pre-Construction,0.852943989,0.017427371,0.000303713,0.74886933,0.041849369,0.00175137
ELP Stillwater,May-Aug,2021,Pre-Construction,0.821415929,0.057961896,0.003359581,0.833535391,0.046779429,0.002188315
ELP Stillwater,May-Aug,2021,Pre-Construction,0.833019598,0.045575742,0.002077148,0.850520678,0.064995254,0.004224383
ELP Stillwater,May-Aug,2021,Pre-Construction,0.826412999,0.033805326,0.0011428,0.39766448,0.098113352,0.00962623
ELP Stillwater,May-Aug,2021,Pre-Construction,0.859304716,0.023904636,0.000571432,0.870979491,0.015385287,0.000236707
ELP Stillwater,May-Aug,2021,Pre-Construction,0.860200912,0.018792859,0.000353172,0.833739901,0.068417732,0.004680986
Grissom,May-Aug,2020,Pre-Construction,0.632002678,0.114028835,0.013002575,0.696805603,0.064875071,0.004208775
Grissom,May-Aug,2020,Pre-Construction,0.656925671,0.039086802,0.001527778,0.662593552,0.099574354,0.009915052
Pattersonville,May-Aug,2019,Pre-Construction,0.70209561,0.11995337,0.01438881,0.736649361,0.05814033,0.003380298
Puckett,May-Aug,2020,Pre-Construction,0.841497325,0.03265315,0.001066228,0.836115944,0.038397051,0.001474334
Puckett,May-Aug,2020,Pre-Construction,0.837502447,0.03168063,0.001003662,0.796635346,0.046734492,0.002184113
Puckett,May-Aug,2020,Pre-Construction,0.735263806,0.07721481,0.005962127,0.709169541,0.020920253,0.000437657
Puckett,May-Aug,2020,Pre-Construction,0.76029451,0.028630762,0.000819721,0.745463695,0.042840175,0.001835281
Puckett,May-Aug,2020,Pre-Construction,0.803916362,0.041534078,0.00172508,0.786500209,0.035609169,0.001268013
Regan,May-Aug,2020,Pre-Construction,0.681033434,0.097337259,0.009474542,0.601636405,0.065343747,0.004269805
Regan,May-Aug,2020,Pre-Construction,0.678743186,0.083114852,0.006908079,0.701663291,0.066133002,0.004373574
Branscomb,May-Aug,2022,Post-Construction,0.619078067,0.17081312,0.029177122,0.77744694,0.032457513,0.00105349
Branscomb,May-Aug,2022,Post-Construction,0.689313849,0.125818896,0.015830395,0.759271595,0.019858913,0.000394376
Branscomb,May-Aug,2022,Post-Construction,0.603103452,0.175814781,0.030910837,0.747907829,0.016294205,0.000265501
Branscomb,May-Aug,2022,Post-Construction,0.63928417,0.187341178,0.035096717,0.5238369,0.016826226,0.000283122
Branscomb,May-Aug,2022,Post-Construction,0.568257498,0.185939945,0.034573663,0.608115037,0.058927454,0.003472445
Branscomb,May-Aug,2022,Post-Construction,0.644732343,0.156714483,0.024559429,0.496589486,0.024324477,0.00059168
Branscomb,May-Aug,2022,Post-Construction,0.67365598,0.127015124,0.016132842,0.604084375,0.02621294,0.000687118
Branscomb,May-Aug,2022,Post-Construction,0.652655892,0.163414549,0.026704315,0.754767438,0.03994292,0.001595437
Darby,May-Aug,2023,Post-Construction,0.530062796,0.03641129,0.001325782,0.530062796,0.03641129,0.001325782
ELP Stillwater,May-Aug,2023,Post-Construction,0.58496281,0.184528897,0.034050914,0.699248449,0.036871826,0.001359532
ELP Stillwater,May-Aug,2023,Post-Construction,0.636961182,0.172221631,0.02966029,0.689345494,0.029376418,0.000862974
ELP Stillwater,May-Aug,2023,Post-Construction,0.626281938,0.152291234,0.02319262,0.636368319,0.143030663,0.020457771
ELP Stillwater,May-Aug,2023,Post-Construction,0.710441513,0.13774685,0.018974195,0.728607527,0.072553043,0.005263944
ELP Stillwater,May-Aug,2023,Post-Construction,0.701755396,0.138702974,0.019238515,0.764651326,0.031326955,0.000981378
ELP Stillwater,May-Aug,2023,Post-Construction,0.591600487,0.161065232,0.025942009,0.846975399,0.012172605,0.000148172
ELP Stillwater,May-Aug,2023,Post-Construction,0.621824457,0.146526197,0.021469926,0.823916414,0.061508232,0.003783263
ELP Stillwater,May-Aug,2023,Post-Construction,0.653552283,0.152419849,0.02323181,0.486479229,0.10082223,0.010165122
ELP Stillwater,May-Aug,2023,Post-Construction,0.638585418,0.140066925,0.019618743,0.835086456,0.016272533,0.000264795
ELP Stillwater,May-Aug,2023,Post-Construction,0.682709289,0.143070608,0.020469199,0.782015847,0.066552423,0.004429225
Grissom,May-Aug,2022,Post-Construction,0.632155219,0.16442025,0.027034019,0.703049741,0.057053848,0.003255142
Grissom,May-Aug,2022,Post-Construction,0.54879642,0.164850544,0.027175702,0.659412219,0.089491765,0.008008776
Pattersonville,May-Aug,2021,Post-Construction,0.78003158,0.05208908,0.00271327,0.801387962,0.021323251,0.000454681
Puckett,May-Aug,2022,Post-Construction,0.547171119,0.135307554,0.018308134,0.669608155,0.065389263,0.004275756
