Solar Name,Date,Year,NDVI_mean,NDVI_stdev,NDVI_variance
Branscomb,Jan-Apr,2022,0.069586055,0.015267518,0.000233097
Branscomb,Jan-Apr,2022,0.112234798,0.017975653,0.000323124
Branscomb,Jan-Apr,2022,0.09587194,0.011157697,0.000124494
Branscomb,Jan-Apr,2022,0.055617245,0.013957376,0.000194808
Branscomb,Jan-Apr,2022,0.058199171,0.035484413,0.001259144
Branscomb,Jan-Apr,2022,0.045853638,0.008912043,7.94E-05
Branscomb,Jan-Apr,2022,0.063793331,0.01105478,0.000122208
Branscomb,Jan-Apr,2022,0.063505261,0.01251566,0.000156642
Darby,Jan-Apr,2023,0.127121936,0.027417662,0.000751728
ELP Stillwater,Jan-Apr,2023,0.138280008,0.024820096,0.000616037
ELP Stillwater,Jan-Apr,2023,0.13414787,0.024239182,0.000587538
ELP Stillwater,Jan-Apr,2023,0.119926901,0.059367749,0.00352453
ELP Stillwater,Jan-Apr,2023,0.278097011,0.100688626,0.010138199
ELP Stillwater,Jan-Apr,2023,0.218153533,0.031150713,0.000970367
ELP Stillwater,Jan-Apr,2023,0.29441288,0.033783678,0.001141337
ELP Stillwater,Jan-Apr,2023,0.342761746,0.07729958,0.005975225
ELP Stillwater,Jan-Apr,2023,0.128145889,0.0323299,0.001045222
ELP Stillwater,Jan-Apr,2023,0.387649388,0.116740527,0.013628351
ELP Stillwater,Jan-Apr,2023,0.407444189,0.190468808,0.036278367
Grissom,Jan-Apr,2023,0.18203479,0.08412784,0.007077493
Grissom,Jan-Apr,2023,0.13979368,0.053729736,0.002886885
Pattersonville,Jan-Apr,2021,0.088199149,0.031354275,0.000983091
Puckett,Jan-Apr,2022,0.244600277,0.084370236,0.007118337
Puckett,Jan-Apr,2022,0.599752929,0.181179809,0.032826123
Puckett,Jan-Apr,2022,0.142851705,0.024792136,0.00061465
Puckett,Jan-Apr,2022,0.115921013,0.025005941,0.000625297
Puckett,Jan-Apr,2022,0.128070897,0.026330784,0.00069331
Regan,Jan-Apr,2023,0.087136984,0.064005011,0.004096641
Regan,Jan-Apr,2023,0.217386955,0.10383573,0.010781859
