Solar Name,Date,Year,NDVI_mean,NDVI_stdev,NDVI_variance
Branscomb,Jan-Apr,2022,0.075808058,0.070838458,0.005018087
Branscomb,Jan-Apr,2022,0.12211982,0.098076543,0.009619008
Branscomb,Jan-Apr,2022,0.069323894,0.057755904,0.003335744
Branscomb,Jan-Apr,2022,0.095115252,0.060045499,0.003605462
Branscomb,Jan-Apr,2022,0.079497306,0.082564619,0.006816916
Branscomb,Jan-Apr,2022,0.09134279,0.080572184,0.006491877
Branscomb,Jan-Apr,2022,0.098705559,0.063785683,0.004068613
Branscomb,Jan-Apr,2022,0.100034343,0.089941273,0.008089433
Darby,Jan-Apr,2023,0.127121936,0.027417662,0.000751728
ELP Stillwater,Jan-Apr,2023,0.147466511,0.05221946,0.002726872
ELP Stillwater,Jan-Apr,2023,0.193778023,0.077909367,0.006069869
ELP Stillwater,Jan-Apr,2023,0.210123516,0.104569282,0.010934735
ELP Stillwater,Jan-Apr,2023,0.224302323,0.103952413,0.010806104
ELP Stillwater,Jan-Apr,2023,0.196358218,0.055960881,0.00313162
ELP Stillwater,Jan-Apr,2023,0.194804254,0.113732133,0.012934998
ELP Stillwater,Jan-Apr,2023,0.20389235,0.122222748,0.0149384
ELP Stillwater,Jan-Apr,2023,0.175662533,0.061089292,0.003731902
ELP Stillwater,Jan-Apr,2023,0.173028867,0.059979118,0.003597495
ELP Stillwater,Jan-Apr,2023,0.208253531,0.061523098,0.003785092
Grissom,Jan-Apr,2023,0.183855188,0.060592289,0.003671426
Grissom,Jan-Apr,2023,0.184950099,0.055768629,0.00311014
Pattersonville,Jan-Apr,2021,0.070345124,0.021815566,0.000475919
Puckett,Jan-Apr,2022,0.113548827,0.082648263,0.006830735
Puckett,Jan-Apr,2022,0.075255393,0.013022096,0.000169575
Puckett,Jan-Apr,2022,0.082397922,0.033455566,0.001119275
Puckett,Jan-Apr,2022,0.094319271,0.039356632,0.001548944
Puckett,Jan-Apr,2022,0.11404311,0.053495093,0.002861725
Regan,Jan-Apr,2023,0.19626605,0.091621109,0.008394428
Regan,Jan-Apr,2023,0.230896818,0.075770373,0.005741149
