Solar Name,Date,Year,NDVI_mean,NDVI_stdev,NDVI_variance
Branscomb,Jan-Apr,2020,0.100122836,0.016690523,0.000278574
Branscomb,Jan-Apr,2020,0.100403115,0.00563459,3.17E-05
Branscomb,Jan-Apr,2020,0.24301242,0.024287216,0.000589869
Branscomb,Jan-Apr,2020,0.335433903,0.02788791,0.000777736
Branscomb,Jan-Apr,2020,0.177723341,0.041972616,0.0017617
Branscomb,Jan-Apr,2020,0.308162982,0.039895285,0.001591634
Branscomb,Jan-Apr,2020,0.128751129,0.035432918,0.001255492
Branscomb,Jan-Apr,2020,0.113583126,0.01891139,0.000357641
Darby,Jan-Apr,2021,0.127325519,0.012150326,0.00014763
ELP Stillwater,Jan-Apr,2021,0.10864967,0.012751728,0.000162607
ELP Stillwater,Jan-Apr,2021,0.086950462,0.010239236,0.000104842
ELP Stillwater,Jan-Apr,2021,0.087625249,0.024936209,0.000621815
ELP Stillwater,Jan-Apr,2021,0.20531736,0.060556351,0.003667072
ELP Stillwater,Jan-Apr,2021,0.12198714,0.022882466,0.000523607
ELP Stillwater,Jan-Apr,2021,0.27273176,0.038456282,0.001478886
ELP Stillwater,Jan-Apr,2021,0.272303795,0.073157438,0.005352011
ELP Stillwater,Jan-Apr,2021,0.084403405,0.023490662,0.000551811
ELP Stillwater,Jan-Apr,2021,0.342591131,0.116576823,0.013590156
ELP Stillwater,Jan-Apr,2021,0.371251436,0.200422037,0.040168993
Grissom,Jan-Apr,2021,0.083570183,0.039753348,0.001580329
Grissom,Jan-Apr,2021,0.055252599,0.018278289,0.000334096
Pattersonville,Jan-Apr,2019,0.066092927,0.037009348,0.001369692
Puckett,Jan-Apr,2020,0.432856202,0.087160747,0.007596996
Puckett,Jan-Apr,2020,0.667272499,0.12602233,0.015881628
Puckett,Jan-Apr,2020,0.329561894,0.040857907,0.001669369
Puckett,Jan-Apr,2020,0.266198171,0.025494331,0.000649961
Puckett,Jan-Apr,2020,0.328686079,0.037254142,0.001387871
Regan,Jan-Apr,2021,0.05796079,0.038516114,0.001483491
Regan,Jan-Apr,2021,0.100242345,0.078354716,0.006139462
