Solar Name,Date,Year,NDVI_mean,NDVI_stdev,NDVI_variance
Branscomb,Jan-Apr,2020,0.255933374,0.143675294,0.02064259
Branscomb,Jan-Apr,2020,0.242009297,0.122148732,0.014920313
Branscomb,Jan-Apr,2020,0.185144728,0.072119848,0.005201272
Branscomb,Jan-Apr,2020,0.222890913,0.112331946,0.012618466
Branscomb,Jan-Apr,2020,0.176236212,0.087312196,0.00762342
Branscomb,Jan-Apr,2020,0.250613576,0.12638681,0.015973626
Branscomb,Jan-Apr,2020,0.247001855,0.040484442,0.00163899
Branscomb,Jan-Apr,2020,0.229998455,0.102397104,0.010485167
Darby,Jan-Apr,2021,0.127325519,0.012150326,0.00014763
ELP Stillwater,Jan-Apr,2021,0.156375196,0.117166767,0.013728051
ELP Stillwater,Jan-Apr,2021,0.204485314,0.087752129,0.007700436
ELP Stillwater,Jan-Apr,2021,0.269392065,0.113918592,0.012977446
ELP Stillwater,Jan-Apr,2021,0.239116377,0.096331817,0.009279819
ELP Stillwater,Jan-Apr,2021,0.198927192,0.059350024,0.003522425
ELP Stillwater,Jan-Apr,2021,0.358202314,0.204968861,0.042012234
ELP Stillwater,Jan-Apr,2021,0.338455466,0.210243004,0.044202121
ELP Stillwater,Jan-Apr,2021,0.1799623,0.058463447,0.003417975
ELP Stillwater,Jan-Apr,2021,0.249508081,0.035986628,0.001295037
ELP Stillwater,Jan-Apr,2021,0.2427402,0.047205196,0.002228331
Grissom,Jan-Apr,2021,0.070596158,0.051783742,0.002681556
Grissom,Jan-Apr,2021,0.053635894,0.016055407,0.000257776
Pattersonville,Jan-Apr,2019,0.031258568,0.017928214,0.000321421
Puckett,Jan-Apr,2020,0.445765721,0.106802972,0.011406875
Puckett,Jan-Apr,2020,0.42102825,0.13169754,0.017344242
Puckett,Jan-Apr,2020,0.284895476,0.036698471,0.001346778
Puckett,Jan-Apr,2020,0.293806495,0.065650502,0.004309988
Puckett,Jan-Apr,2020,0.36828978,0.114439693,0.013096443
Regan,Jan-Apr,2021,0.077168373,0.053237976,0.002834282
Regan,Jan-Apr,2021,0.096374807,0.056403721,0.00318138
