fid,id,NDVI_mean,NDVI_stdev,NDVI_variance
"1","1",0.138280007910062,0.0248200956620853,0.000616037148675064
"2","2",0.134147870021739,0.0242391815713565,0.000587537923249188
"3","3",0.119926901454599,0.0593677494745221,0.00352452967766962
"4","4",0.278097010725601,0.100688626216394,0.0101381994493446
"5","5",0.218153533141157,0.031150712538086,0.000970366891630469
"6","6",0.294412880144316,0.0337836782335896,0.00114133691499071
"7","7",0.342761745513745,0.0772995798724432,0.00597522504845623
"8","8",0.12814588946375,0.0323299000184527,0.00104522243520315
"9","9",0.387649388169294,0.116740526903274,0.0136283506216539
"10","10",0.40744418934034,0.190468807801208,0.0362783667452137
