fid,id,NDVI_mean,NDVI_stdev,NDVI_variance
"1","1",0.764603714009265,0.0247885811346226,0.000614473754667766
"2","2",0.735695439523884,0.115045217499265,0.0132354020694531
"3","3",0.460540971058047,0.253553281827268,0.0642892667253781
"4","4",0.673898613419045,0.09409888294522,0.00885459977153821
"5","5",0.748869330250363,0.0418493686132866,0.00175136965333074
"6","6",0.833535390631329,0.0467794287821222,0.00218831495718164
"7","7",0.85052067830529,0.0649952540459488,0.00422438304849742
"8","8",0.397664479572665,0.0981133517391344,0.0096262297894871
"9","9",0.87097949087316,0.0153852871888584,0.000236707061883652
"10","10",0.833739901303874,0.0684177323623562,0.004680986101607
