fid,id,NDVI_mean,NDVI_stdev,NDVI_variance
"1","1",0.341541556211618,0.0226256745208975,0.000511921147525592
"2","2",0.310353725350329,0.0341071815026222,0.00116329983005281
"3","3",0.309932534638633,0.111420448830546,0.0124145164176004
"4","4",0.398387972434813,0.0646710583475472,0.00418234578779186
"5","5",0.41582441713928,0.0598372918183358,0.00358050149215267
"6","6",0.59768418356669,0.0391292545268612,0.00153109855982789
"7","7",0.572448277158636,0.0757985698856326,0.00574542319670713
"8","8",0.231055565771054,0.055408660564621,0.00307011966556539
"9","9",0.555994035636249,0.0537012552395689,0.00288382481430533
"10","10",0.615346932035183,0.137758509483234,0.0189774069350422
