Solar Name,Date,Year,Status,NDVI_mean,NDVI_stdev,NDVI_variance,NDVI_mean_control,NDVI_stdev_control,NDVI_variance_control
Branscomb,May-Aug,2020,Pre-Construction,0.527569179,0.209456466,0.043872011,0.700533059,0.147564353,0.021775238
Branscomb,May-Aug,2020,Pre-Construction,0.473501845,0.22237178,0.049449208,0.798678335,0.045598565,0.002079229
Branscomb,May-Aug,2020,Pre-Construction,0.425458539,0.209653913,0.043954763,0.836634464,0.027069955,0.000732782
Branscomb,May-Aug,2020,Pre-Construction,0.506606359,0.207458082,0.043038856,0.619118525,0.027350705,0.000748061
Branscomb,May-Aug,2020,Pre-Construction,0.415899499,0.182828967,0.033426431,0.579794996,0.060913222,0.003710421
Branscomb,May-Aug,2020,Pre-Construction,0.586599989,0.179249046,0.03213022,0.588065258,0.047351688,0.002242182
Branscomb,May-Aug,2020,Pre-Construction,0.767008601,0.035997336,0.001295808,0.585428184,0.057739604,0.003333862
Branscomb,May-Aug,2020,Pre-Construction,0.582951938,0.175165785,0.030683052,0.227092645,0.056283682,0.003167853
Darby,May-Aug,2020,Pre-Construction,0.417244667,0.035871335,0.001286753,0.417244667,0.035871335,0.001286753
ELP Stillwater,May-Aug,2020,Pre-Construction,0.654808018,0.095713387,0.009161052,0.555791217,0.028996577,0.000840802
ELP Stillwater,May-Aug,2020,Pre-Construction,0.686549986,0.089793163,0.008062812,0.604134141,0.025580132,0.000654343
ELP Stillwater,May-Aug,2020,Pre-Construction,0.716799265,0.035417509,0.0012544,0.382057737,0.163254435,0.02665201
ELP Stillwater,May-Aug,2020,Pre-Construction,0.730231398,0.045035759,0.00202822,0.726600902,0.077010671,0.005930643
ELP Stillwater,May-Aug,2020,Pre-Construction,0.726745676,0.031060255,0.000964739,0.634820334,0.03656243,0.001336811
ELP Stillwater,May-Aug,2020,Pre-Construction,0.752450809,0.054379592,0.00295714,0.734112675,0.026462793,0.000700279
ELP Stillwater,May-Aug,2020,Pre-Construction,0.712600833,0.063292176,0.0040059,0.757483488,0.040774708,0.001662577
ELP Stillwater,May-Aug,2020,Pre-Construction,0.699638658,0.030768457,0.000946698,0.405646603,0.115952094,0.013444888
ELP Stillwater,May-Aug,2020,Pre-Construction,0.731888398,0.035737697,0.001277183,0.728805571,0.026214344,0.000687192
ELP Stillwater,May-Aug,2020,Pre-Construction,0.719117629,0.025143936,0.000632217,0.755876892,0.074003079,0.005476456
