Solar Name,Date,Year,NDVI_mean,NDVI_stdev,NDVI_variance
Branscomb,Sep-Dec,2022,0.373432584,0.026662759,0.000710903
Branscomb,Sep-Dec,2022,0.344585399,0.025852795,0.000668367
Branscomb,Sep-Dec,2022,0.483953105,0.029768832,0.000886183
Branscomb,Sep-Dec,2022,0.270945958,0.025116608,0.000630844
Branscomb,Sep-Dec,2022,0.288879323,0.057725185,0.003332197
Branscomb,Sep-Dec,2022,0.280973809,0.024763798,0.000613246
Branscomb,Sep-Dec,2022,0.275168099,0.050132626,0.00251328
Branscomb,Sep-Dec,2022,0.381859132,0.042203002,0.001781093
Darby,Sep-Dec,2022,0.266573478,0.034692226,0.001203551
ELP Stillwater,Sep-Dec,2022,0.341541556,0.022625675,0.000511921
ELP Stillwater,Sep-Dec,2022,0.310353725,0.034107182,0.0011633
ELP Stillwater,Sep-Dec,2022,0.309932535,0.111420449,0.012414516
ELP Stillwater,Sep-Dec,2022,0.398387972,0.064671058,0.004182346
ELP Stillwater,Sep-Dec,2022,0.415824417,0.059837292,0.003580501
ELP Stillwater,Sep-Dec,2022,0.597684184,0.039129255,0.001531099
ELP Stillwater,Sep-Dec,2022,0.572448277,0.07579857,0.005745423
ELP Stillwater,Sep-Dec,2022,0.231055566,0.055408661,0.00307012
ELP Stillwater,Sep-Dec,2022,0.555994036,0.053701255,0.002883825
ELP Stillwater,Sep-Dec,2022,0.615346932,0.137758509,0.018977407
Grissom,Sep-Dec,2022,0.310734619,0.087139121,0.007593226
Grissom,Sep-Dec,2022,0.28769349,0.063886075,0.004081431
Pattersonville,Sep-Dec,2021,0.56996745,0.060398826,0.003648018
Puckett,Sep-Dec,2021,0.674351085,0.06219653,0.003868408
Puckett,Sep-Dec,2021,0.814256667,0.042856329,0.001836665
Puckett,Sep-Dec,2021,0.729345291,0.022243481,0.000494772
Puckett,Sep-Dec,2021,0.719945897,0.016251807,0.000264121
Puckett,Sep-Dec,2021,0.703367038,0.040641274,0.001651713
Regan,Sep-Dec,2022,0.249306385,0.082140106,0.006746997
Regan,Sep-Dec,2022,0.323473048,0.130980341,0.01715585
