Solar Name,Date,Year,NDVI_mean,NDVI_stdev,NDVI_variance
Branscomb,Sep-Dec,2022,0.342881545,0.104907549,0.011005594
Branscomb,Sep-Dec,2022,0.433742801,0.12153885,0.014771692
Branscomb,Sep-Dec,2022,0.323223253,0.090050662,0.008109122
Branscomb,Sep-Dec,2022,0.391956206,0.094059098,0.008847114
Branscomb,Sep-Dec,2022,0.339150328,0.114347739,0.013075405
Branscomb,Sep-Dec,2022,0.370536464,0.119834194,0.014360234
Branscomb,Sep-Dec,2022,0.365650469,0.101625388,0.01032772
Branscomb,Sep-Dec,2022,0.354561827,0.12389458,0.015349867
Darby,Sep-Dec,2022,0.266573478,0.034692226,0.001203551
ELP Stillwater,Sep-Dec,2022,0.302127177,0.08731514,0.007623934
ELP Stillwater,Sep-Dec,2022,0.368548058,0.092005586,0.008465028
ELP Stillwater,Sep-Dec,2022,0.376483287,0.12754621,0.016268036
ELP Stillwater,Sep-Dec,2022,0.431228238,0.12645654,0.015991256
ELP Stillwater,Sep-Dec,2022,0.436536037,0.075109383,0.005641419
ELP Stillwater,Sep-Dec,2022,0.416773046,0.113582574,0.012901001
ELP Stillwater,Sep-Dec,2022,0.387916274,0.103357573,0.010682788
ELP Stillwater,Sep-Dec,2022,0.386612052,0.067906287,0.004611264
ELP Stillwater,Sep-Dec,2022,0.332825216,0.071080396,0.005052423
ELP Stillwater,Sep-Dec,2022,0.391923154,0.071776762,0.005151904
Grissom,Sep-Dec,2022,0.286735615,0.084305241,0.007107374
Grissom,Sep-Dec,2022,0.27542117,0.069670165,0.004853932
Pattersonville,Sep-Dec,2021,0.552308925,0.069893754,0.004885137
Puckett,Sep-Dec,2021,0.474552312,0.166573225,0.027746639
Puckett,Sep-Dec,2021,0.432214722,0.094481376,0.00892673
Puckett,Sep-Dec,2021,0.523666337,0.187559671,0.03517863
Puckett,Sep-Dec,2021,0.626958632,0.136912527,0.01874504
Puckett,Sep-Dec,2021,0.644443696,0.109473369,0.011984419
Regan,Sep-Dec,2022,0.253857887,0.107485008,0.011553027
Regan,Sep-Dec,2022,0.309530967,0.120305641,0.014473447
